Age_Group,Gender,Emirate,Occupation,Income,Family_Size,Education,Purchase_Location,Purchase_Frequency,Products_Bought,Monthly_Spending_Range,Uses_Eco_Products,Preferred_Packaging,Importance_Convenience,Importance_Price,Importance_Sustainability,Aware_Plastic_Ban,Reduce_Waste_Score,Eco_Brand_Preference,Follow_Campaigns,Social_Influence_Score,Used_Refill_Before,Try_Refill_Likelihood,Preferred_Payment_Mode,Refill_Location,Container_Type,Refill_Combos,Preferred_Scents,Interest_Non_Liquids,Discount_Switch,Willingness_to_Pay_AED,Usage_Frequency,Likely_to_Use_ReFillHub
18-24,Male,Dubai,Entrepreneur,10000-20000,3-4,Undergraduate,Supermarket,Weekly,"Surface Cleaner, Sanitizer, Cooking Oil",<50,No,Biodegradable,4,4,5,Yes,5,4,Yes,1,No,5,Mobile App,Residential Lobbies,Bring my own,"Shampoo + Conditioner, Detergent + Fabric Softener","Fresh Linen, Unscented",Yes,10-20%,93.25,Twice,Yes
55+,Female,Abu Dhabi,Entrepreneur,<5000,3-4,High School,Online,Monthly,"Shampoo, Conditioner, Cooking Oil, Sanitizer, Body Wash",50-100,No,Glass,5,5,3,No,5,2,No,1,Yes,3,Card,Malls,Buy branded bottle once,"Shampoo + Conditioner, Hand Wash + Sanitizer, Detergent + Fabric Softener","Unscented, Herbal",Maybe,5-10%,10.0,Weekly,No
45-54,Female,Dubai,Professional,10000-20000,3-4,Undergraduate,Online,Weekly,"Cooking Oil, Conditioner, Sanitizer",50-100,No,Aluminum,4,2,4,Yes,2,5,Yes,3,No,4,Cash,Petrol Stations,Buy branded bottle once,"Shampoo + Conditioner, Cooking Oil + Vinegar, Detergent + Fabric Softener","Floral, Herbal",Yes,>20%,63.46,Weekly,No
25-34,Male,Sharjah,Student,<5000,3-4,Postgraduate,Supermarket,Bi-weekly,"Detergent, Conditioner, Cooking Oil, Sanitizer",100-200,No,Biodegradable,5,2,5,Unsure,5,3,Yes,3,No,4,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Floral, Citrus, Fresh Linen",Yes,5-10%,29.59,More than 4x,No
25-34,Female,Abu Dhabi,Student,10000-20000,3-4,Undergraduate,Hypermarket,Monthly,"Shampoo, Fabric Softener, Surface Cleaner",<50,Occasionally,Plastic,3,4,3,Yes,2,5,Yes,4,No,3,Cash,Residential Lobbies,Use disposable option,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Citrus, Floral",No,10-20%,64.28,Weekly,No
25-34,Female,Dubai,Other,>40000,3-4,High School,Hypermarket,Quarterly,"Sanitizer, Detergent, Shampoo, Fabric Softener, Conditioner",>400,Yes,Plastic,3,2,3,Yes,2,4,Yes,3,No,3,Mobile App,Supermarkets,Use disposable option,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer, Shampoo + Conditioner","Citrus, Herbal",No,5-10%,201.83,Weekly,Yes
25-34,Male,Dubai,Professional,5000-10000,3-4,Undergraduate,Supermarket,Quarterly,"Body Wash, Conditioner, Hand Wash, Fabric Softener, Surface Cleaner",100-200,No,No preference,5,5,4,No,5,3,No,4,No,3,Card,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Hand Wash + Sanitizer, Shampoo + Conditioner","Citrus, Unscented",Maybe,>20%,50.11,Weekly,No
35-44,Male,Abu Dhabi,Entrepreneur,<5000,3-4,Postgraduate,Online,Monthly,"Hand Wash, Conditioner, Surface Cleaner, Cooking Oil",>400,Occasionally,Aluminum,4,2,4,Yes,5,4,No,1,No,5,Card,Supermarkets,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar","Herbal, Unscented, Floral",Yes,5-10%,24.6,Weekly,Yes
25-34,Female,Abu Dhabi,Professional,<5000,1-2,Postgraduate,Hypermarket,Monthly,"Shampoo, Surface Cleaner, Body Wash, Fabric Softener, Hand Wash",200-400,No,No preference,3,3,5,Yes,5,3,No,1,No,5,Mobile App,Gyms,Buy branded bottle once,"Cooking Oil + Vinegar, Hand Wash + Sanitizer","Floral, Unscented",Maybe,5-10%,35.19,Once,Yes
25-34,Female,Dubai,Professional,5000-10000,3-4,High School,Supermarket,Weekly,"Hand Wash, Sanitizer, Surface Cleaner, Body Wash, Shampoo",200-400,Occasionally,Plastic,4,3,5,Yes,5,4,Yes,4,Yes,5,Mobile App,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Herbal, Citrus, Fresh Linen",No,>20%,68.07,More than 4x,No
35-44,Male,Others,Professional,5000-10000,3-4,Postgraduate,Supermarket,Bi-weekly,"Surface Cleaner, Fabric Softener, Conditioner, Body Wash",100-200,Yes,Biodegradable,4,4,5,Yes,5,5,Yes,3,No,2,Mobile App,Malls,Buy branded bottle once,"Shampoo + Conditioner, Detergent + Fabric Softener","Citrus, Herbal",Yes,>20%,53.96,Weekly,Yes
18-24,Male,Dubai,Student,<5000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Detergent, Cooking Oil, Body Wash, Shampoo, Hand Wash",100-200,No,Plastic,5,4,4,Yes,2,5,No,3,No,2,Mobile App,Gyms,Use disposable option,"Shampoo + Conditioner, Hand Wash + Sanitizer","Citrus, Herbal",Yes,5-10%,12.88,Once,No
25-34,Male,Dubai,Professional,20000-40000,3-4,Undergraduate,Local Store,Bi-weekly,"Body Wash, Sanitizer, Fabric Softener",100-200,Yes,Plastic,3,4,5,Yes,3,4,Yes,4,No,4,Cash,Petrol Stations,Buy branded bottle once,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer, Detergent + Fabric Softener","Herbal, Floral",Yes,>20%,121.44,More than 4x,Yes
25-34,Female,Ajman,Entrepreneur,10000-20000,3-4,Postgraduate,Hypermarket,Bi-weekly,"Body Wash, Hand Wash, Surface Cleaner",100-200,No,Glass,3,4,5,Yes,4,3,No,5,No,3,Card,Residential Lobbies,Bring my own,"Surface Cleaner + Air Freshener, Shampoo + Conditioner","Fresh Linen, Floral, Citrus",No,>20%,69.16,Weekly,No
25-34,Female,Dubai,Professional,5000-10000,1-2,Undergraduate,Online,Bi-weekly,"Surface Cleaner, Detergent, Hand Wash, Sanitizer, Body Wash",100-200,Yes,Plastic,5,5,3,Unsure,4,5,Yes,3,No,3,Card,Residential Lobbies,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar, Detergent + Fabric Softener","Floral, Citrus",Yes,<5%,69.92,More than 4x,No
45-54,Male,Abu Dhabi,Professional,>40000,3-4,Undergraduate,Hypermarket,Weekly,"Conditioner, Fabric Softener, Cooking Oil",>400,Yes,Plastic,4,5,3,Unsure,2,3,Yes,2,Yes,5,Cash,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Unscented, Herbal, Floral",Maybe,>20%,206.93,More than 4x,No
25-34,Female,Dubai,Student,<5000,5+,High School,Online,Monthly,"Hand Wash, Fabric Softener, Shampoo",200-400,No,Plastic,4,3,3,Yes,2,3,No,3,Yes,2,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Citrus, Unscented, Floral",No,10-20%,29.03,More than 4x,Yes
35-44,Female,Dubai,Other,>40000,3-4,Postgraduate,Hypermarket,Weekly,"Fabric Softener, Surface Cleaner, Sanitizer, Hand Wash",200-400,No,Plastic,3,5,5,No,3,5,No,5,Yes,3,Mobile App,Malls,Bring my own,"Hand Wash + Sanitizer, Detergent + Fabric Softener, Shampoo + Conditioner","Herbal, Citrus, Unscented",Maybe,10-20%,206.5,Once,No
35-44,Male,Others,Entrepreneur,5000-10000,3-4,Postgraduate,Online,Bi-weekly,"Detergent, Conditioner, Shampoo",200-400,Yes,Biodegradable,5,2,4,Yes,5,2,No,1,No,4,Mobile App,Supermarkets,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer, Detergent + Fabric Softener","Herbal, Floral, Unscented",Yes,10-20%,49.62,Twice,Yes
18-24,Male,Dubai,Professional,20000-40000,3-4,Undergraduate,Supermarket,Bi-weekly,"Cooking Oil, Detergent, Hand Wash, Sanitizer, Surface Cleaner",50-100,No,Glass,5,3,3,Yes,2,2,Yes,1,No,3,Mobile App,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Unscented, Herbal, Floral",Yes,10-20%,132.52,More than 4x,No
35-44,Female,Ajman,Other,10000-20000,1-2,Postgraduate,Hypermarket,Monthly,"Shampoo, Cooking Oil, Detergent, Surface Cleaner, Hand Wash",<50,No,Plastic,4,4,4,Yes,4,3,Yes,1,No,5,Card,Supermarkets,Use disposable option,"Cooking Oil + Vinegar, Hand Wash + Sanitizer","Fresh Linen, Herbal",Yes,<5%,69.29,More than 4x,No
25-34,Female,Dubai,Professional,20000-40000,3-4,High School,Online,Monthly,"Conditioner, Detergent, Sanitizer, Fabric Softener, Hand Wash",100-200,Yes,Plastic,4,4,5,Unsure,5,5,Yes,3,Yes,5,Mobile App,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Fresh Linen, Floral",Yes,>20%,129.6,Weekly,No
18-24,Female,Dubai,Professional,>40000,3-4,Undergraduate,Online,Monthly,"Shampoo, Sanitizer, Surface Cleaner, Detergent, Conditioner",100-200,No,Plastic,5,5,5,Unsure,2,2,No,1,No,2,Subscription,Residential Lobbies,Use disposable option,"Detergent + Fabric Softener, Cooking Oil + Vinegar","Floral, Herbal, Unscented",Maybe,<5%,215.92,Weekly,No
55+,Female,Dubai,Entrepreneur,5000-10000,1-2,Undergraduate,Local Store,Weekly,"Sanitizer, Body Wash, Surface Cleaner",200-400,Occasionally,Aluminum,3,3,3,Yes,5,4,No,5,No,4,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Fresh Linen, Herbal, Floral",Yes,10-20%,41.86,Twice,Yes
55+,Male,Abu Dhabi,Homemaker,>40000,3-4,High School,Supermarket,Bi-weekly,"Cooking Oil, Sanitizer, Body Wash, Shampoo",100-200,No,Plastic,4,5,4,Yes,4,3,Yes,5,No,4,Card,Supermarkets,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner, Hand Wash + Sanitizer","Herbal, Floral",Yes,5-10%,203.38,More than 4x,Yes
45-54,Male,Dubai,Entrepreneur,5000-10000,3-4,Undergraduate,Supermarket,Weekly,"Cooking Oil, Sanitizer, Hand Wash",100-200,Yes,Biodegradable,5,5,3,Yes,5,2,No,3,No,3,Cash,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Citrus, Unscented",Yes,>20%,54.17,Twice,Yes
25-34,Female,Ajman,Student,5000-10000,3-4,Postgraduate,Supermarket,Bi-weekly,"Surface Cleaner, Shampoo, Body Wash, Sanitizer",100-200,Yes,Plastic,5,5,5,Yes,2,5,No,2,No,4,Mobile App,Malls,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner","Floral, Unscented",Yes,5-10%,39.25,Twice,No
18-24,Male,Abu Dhabi,Professional,5000-10000,5+,High School,Hypermarket,Bi-weekly,"Cooking Oil, Fabric Softener, Conditioner",<50,No,Plastic,5,3,4,Yes,2,5,No,3,No,3,Card,Residential Lobbies,Buy branded bottle once,"Detergent + Fabric Softener, Shampoo + Conditioner","Citrus, Unscented, Fresh Linen",Maybe,10-20%,36.31,Weekly,No
35-44,Male,Others,Other,10000-20000,1-2,Undergraduate,Hypermarket,Weekly,"Detergent, Shampoo, Hand Wash, Cooking Oil, Body Wash",100-200,Occasionally,Biodegradable,3,4,3,Yes,4,3,Yes,1,No,3,Cash,Malls,Use disposable option,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Shampoo + Conditioner","Floral, Herbal, Unscented",No,10-20%,65.84,Twice,Yes
25-34,Male,Dubai,Professional,5000-10000,3-4,Undergraduate,Supermarket,Bi-weekly,"Cooking Oil, Conditioner, Body Wash, Hand Wash, Fabric Softener",200-400,No,Biodegradable,4,2,5,No,3,5,Yes,3,No,2,Card,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Herbal, Unscented, Fresh Linen",Maybe,>20%,49.48,More than 4x,Yes
18-24,Male,Ajman,Professional,10000-20000,1-2,Undergraduate,Hypermarket,Quarterly,"Body Wash, Sanitizer, Cooking Oil, Shampoo, Fabric Softener",50-100,Yes,Plastic,4,4,3,Yes,3,4,No,5,Yes,4,Subscription,Supermarkets,Bring my own,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Fresh Linen, Herbal, Citrus",Yes,10-20%,79.19,Once,No
25-34,Male,Sharjah,Professional,10000-20000,5+,Postgraduate,Online,Quarterly,"Body Wash, Sanitizer, Shampoo",100-200,No,Biodegradable,4,3,4,Unsure,5,4,Yes,3,No,5,Mobile App,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Floral, Unscented, Herbal",Maybe,>20%,71.3,Once,Yes
18-24,Male,Sharjah,Professional,20000-40000,1-2,Undergraduate,Hypermarket,Bi-weekly,"Body Wash, Surface Cleaner, Conditioner, Sanitizer, Hand Wash",100-200,Occasionally,Glass,3,4,4,Yes,2,2,No,3,No,3,Mobile App,Residential Lobbies,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar, Hand Wash + Sanitizer","Unscented, Herbal",Maybe,<5%,139.31,Weekly,No
55+,Male,Sharjah,Professional,20000-40000,3-4,Undergraduate,Online,Weekly,"Sanitizer, Conditioner, Hand Wash, Body Wash",50-100,Yes,Biodegradable,4,4,4,Yes,2,5,No,2,Yes,3,Mobile App,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner, Detergent + Fabric Softener","Unscented, Herbal, Citrus",Yes,5-10%,130.26,Weekly,No
25-34,Male,Sharjah,Other,10000-20000,3-4,Postgraduate,Online,Weekly,"Conditioner, Surface Cleaner, Cooking Oil",50-100,Occasionally,Aluminum,4,2,4,No,4,4,No,5,No,3,Card,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener, Hand Wash + Sanitizer","Citrus, Floral",Yes,10-20%,79.53,Twice,No
35-44,Female,Abu Dhabi,Professional,5000-10000,3-4,High School,Local Store,Bi-weekly,"Fabric Softener, Detergent, Sanitizer",>400,Occasionally,Biodegradable,4,4,4,No,4,3,Yes,4,No,4,Mobile App,Malls,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Fresh Linen, Unscented",Maybe,>20%,45.7,Weekly,Yes
25-34,Female,Dubai,Student,5000-10000,3-4,Undergraduate,Supermarket,Quarterly,"Cooking Oil, Hand Wash, Fabric Softener",100-200,Yes,No preference,4,4,3,Yes,2,5,Yes,4,Yes,4,Subscription,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Hand Wash + Sanitizer","Citrus, Floral",No,<5%,50.7,Weekly,Yes
35-44,Female,Dubai,Student,5000-10000,3-4,Undergraduate,Supermarket,Weekly,"Shampoo, Sanitizer, Hand Wash",50-100,Occasionally,Plastic,3,4,3,Yes,4,2,Yes,5,No,4,Cash,Petrol Stations,Buy branded bottle once,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Shampoo + Conditioner","Citrus, Herbal, Fresh Linen",Maybe,<5%,61.02,More than 4x,No
35-44,Female,Ajman,Homemaker,<5000,3-4,Undergraduate,Online,Monthly,"Shampoo, Surface Cleaner, Body Wash, Sanitizer",50-100,Yes,Aluminum,5,5,3,Unsure,3,3,Yes,4,No,3,Mobile App,Malls,Buy branded bottle once,"Hand Wash + Sanitizer, Cooking Oil + Vinegar, Detergent + Fabric Softener","Floral, Citrus",Yes,5-10%,34.2,Once,Yes
25-34,Female,Abu Dhabi,Professional,5000-10000,3-4,Doctorate,Other,Weekly,"Cooking Oil, Conditioner, Fabric Softener",100-200,Occasionally,Glass,5,3,3,Yes,3,3,Yes,1,No,5,Subscription,Malls,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar","Fresh Linen, Floral",Yes,10-20%,59.09,More than 4x,No
55+,Male,Sharjah,Professional,5000-10000,1-2,Postgraduate,Online,Quarterly,"Surface Cleaner, Detergent, Conditioner",100-200,No,Plastic,4,3,5,Yes,5,3,Yes,4,Yes,5,Card,Residential Lobbies,Use disposable option,"Shampoo + Conditioner, Detergent + Fabric Softener, Hand Wash + Sanitizer","Floral, Citrus",Maybe,10-20%,46.96,Weekly,Yes
45-54,Female,Abu Dhabi,Homemaker,>40000,3-4,Undergraduate,Supermarket,Bi-weekly,"Sanitizer, Shampoo, Fabric Softener",100-200,No,Plastic,4,2,5,Yes,4,4,Yes,1,No,4,Card,Petrol Stations,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar","Fresh Linen, Herbal",No,>20%,194.77,Twice,No
55+,Female,Dubai,Homemaker,10000-20000,3-4,Postgraduate,Supermarket,Monthly,"Detergent, Hand Wash, Sanitizer, Body Wash, Conditioner",<50,No,Plastic,4,5,3,No,5,3,Yes,5,Yes,5,Card,Petrol Stations,Bring my own,"Shampoo + Conditioner, Detergent + Fabric Softener, Hand Wash + Sanitizer","Fresh Linen, Citrus, Herbal",No,<5%,60.73,Once,No
45-54,Female,Dubai,Homemaker,5000-10000,3-4,High School,Online,Bi-weekly,"Fabric Softener, Surface Cleaner, Conditioner, Shampoo",200-400,Occasionally,Aluminum,3,5,5,No,4,4,Yes,4,No,3,Mobile App,Residential Lobbies,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner","Citrus, Unscented",No,5-10%,55.29,Weekly,No
35-44,Male,Abu Dhabi,Other,10000-20000,3-4,High School,Supermarket,Monthly,"Detergent, Surface Cleaner, Hand Wash, Body Wash",100-200,Yes,Aluminum,4,4,5,Unsure,4,3,Yes,4,Yes,4,Cash,Residential Lobbies,Bring my own,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Unscented, Citrus",Yes,5-10%,59.81,Twice,No
55+,Male,Dubai,Professional,<5000,5+,Undergraduate,Hypermarket,Weekly,"Sanitizer, Detergent, Surface Cleaner, Fabric Softener, Conditioner",50-100,No,Aluminum,3,3,4,Yes,3,4,Yes,1,No,4,Mobile App,Residential Lobbies,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Herbal, Citrus, Unscented",Maybe,10-20%,24.84,Twice,No
18-24,Male,Dubai,Entrepreneur,10000-20000,3-4,Undergraduate,Other,Weekly,"Body Wash, Detergent, Surface Cleaner, Sanitizer, Fabric Softener",100-200,Yes,Plastic,4,2,3,Yes,2,5,No,1,Yes,3,Subscription,Residential Lobbies,Use disposable option,"Surface Cleaner + Air Freshener, Shampoo + Conditioner, Cooking Oil + Vinegar","Citrus, Herbal",Maybe,10-20%,70.8,Twice,Yes
25-34,Male,Abu Dhabi,Professional,10000-20000,1-2,Undergraduate,Online,Quarterly,"Conditioner, Detergent, Cooking Oil",100-200,Yes,Glass,4,5,5,Yes,4,4,Yes,3,Yes,4,Mobile App,Residential Lobbies,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Herbal, Unscented",Maybe,5-10%,77.22,Weekly,Yes
18-24,Female,Dubai,Homemaker,10000-20000,1-2,Undergraduate,Online,Quarterly,"Conditioner, Cooking Oil, Hand Wash, Surface Cleaner",200-400,Yes,No preference,5,4,5,No,4,4,Yes,2,Yes,3,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Unscented, Floral",Yes,>20%,86.66,Weekly,No
25-34,Female,Abu Dhabi,Entrepreneur,10000-20000,5+,Postgraduate,Online,Monthly,"Detergent, Hand Wash, Body Wash",>400,No,Glass,4,2,3,Yes,4,5,No,4,No,4,Card,Gyms,Buy branded bottle once,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Shampoo + Conditioner","Unscented, Fresh Linen, Herbal",Yes,5-10%,88.54,Once,No
25-34,Male,Dubai,Entrepreneur,>40000,3-4,Undergraduate,Supermarket,Monthly,"Surface Cleaner, Sanitizer, Cooking Oil, Body Wash, Hand Wash",50-100,Yes,Aluminum,3,5,4,Yes,2,3,No,2,No,5,Subscription,Residential Lobbies,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar","Unscented, Fresh Linen",Maybe,10-20%,207.02,Weekly,Yes
25-34,Prefer not to say,Sharjah,Entrepreneur,20000-40000,1-2,Undergraduate,Local Store,Monthly,"Fabric Softener, Cooking Oil, Surface Cleaner, Sanitizer, Body Wash",200-400,Yes,Biodegradable,5,2,3,Yes,5,5,Yes,2,Yes,4,Card,Malls,Bring my own,"Cooking Oil + Vinegar, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Floral, Herbal",No,10-20%,112.36,Weekly,Yes
45-54,Female,Dubai,Student,10000-20000,3-4,High School,Online,Weekly,"Cooking Oil, Detergent, Surface Cleaner, Fabric Softener, Shampoo",200-400,Yes,Biodegradable,3,5,4,Yes,5,3,No,4,No,4,Mobile App,Residential Lobbies,Bring my own,"Shampoo + Conditioner, Detergent + Fabric Softener","Fresh Linen, Herbal, Unscented",No,5-10%,74.78,Once,Yes
25-34,Male,Abu Dhabi,Professional,10000-20000,3-4,High School,Online,Bi-weekly,"Conditioner, Cooking Oil, Shampoo, Body Wash",>400,Yes,Glass,5,2,5,No,4,4,No,1,No,4,Card,Malls,Use disposable option,"Detergent + Fabric Softener, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Unscented, Fresh Linen, Citrus",Maybe,>20%,66.26,More than 4x,Yes
25-34,Male,Dubai,Other,10000-20000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Body Wash, Fabric Softener, Hand Wash, Cooking Oil",50-100,No,Biodegradable,3,5,4,Yes,4,3,No,3,No,2,Card,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Fresh Linen, Citrus, Floral",No,>20%,68.46,Weekly,No
35-44,Male,Dubai,Other,5000-10000,3-4,Undergraduate,Online,Monthly,"Body Wash, Cooking Oil, Hand Wash, Conditioner",100-200,Occasionally,Glass,5,5,4,Unsure,5,4,Yes,5,Yes,5,Mobile App,Malls,Buy branded bottle once,"Detergent + Fabric Softener, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Citrus, Unscented, Fresh Linen",No,10-20%,54.82,More than 4x,Yes
18-24,Male,Dubai,Student,5000-10000,1-2,Postgraduate,Hypermarket,Bi-weekly,"Shampoo, Body Wash, Cooking Oil, Hand Wash, Sanitizer",50-100,Yes,Biodegradable,3,2,3,Yes,5,3,No,4,No,3,Card,Residential Lobbies,Use disposable option,"Shampoo + Conditioner, Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Fresh Linen, Floral",Yes,10-20%,40.26,Once,Yes
